                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 1.4207,                 1.1862,                 1.4047,                0.49734,                0.57535,                0.49574,                0.36652,                0.91179,                 1.4627,                   1.22,              0.0088615,              0.0088615,              0.0088615
                    117,                 1.4201,                 1.1878,                 1.4057,                0.49048,                0.58332,                 0.4954,                0.36624,                0.91142,                 1.4606,                 1.2202,              0.0088516,              0.0088516,              0.0088516
                    118,                 1.4195,                 1.1871,                 1.4048,                0.49194,                0.58166,                0.49439,                0.36591,                0.91388,                  1.463,                 1.2222,              0.0088417,              0.0088417,              0.0088417
                    119,                 1.4214,                 1.1883,                 1.4067,                0.48996,                0.58739,                0.49397,                0.36565,                0.91455,                  1.465,                 1.2235,              0.0088318,              0.0088318,              0.0088318
                    120,                   1.42,                 1.1867,                  1.406,                0.49295,                0.58166,                0.49424,                0.36569,                0.91401,                 1.4646,                 1.2235,              0.0088219,              0.0088219,              0.0088219
                    121,                 1.4211,                 1.1884,                  1.404,                 0.4934,                0.58242,                0.49385,                0.36523,                 0.9133,                 1.4665,                 1.2234,               0.008812,               0.008812,               0.008812
                    122,                 1.4205,                  1.189,                 1.4026,                0.49421,                0.58159,                0.49435,                0.36552,                0.91497,                 1.4634,                  1.225,              0.0088021,              0.0088021,              0.0088021
                    123,                  1.419,                 1.1863,                 1.4025,                0.49676,                0.58064,                0.49452,                0.36597,                0.91345,                 1.4651,                 1.2232,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.4201,                 1.1869,                 1.4053,                0.49843,                0.57978,                0.49542,                0.36653,                0.91371,                 1.4611,                 1.2239,              0.0087823,              0.0087823,              0.0087823
                    125,                 1.4197,                  1.187,                 1.4029,                0.49695,                0.58242,                0.49674,                0.36722,                0.91381,                 1.4562,                 1.2232,              0.0087724,              0.0087724,              0.0087724
                    126,                 1.4201,                 1.1869,                 1.4037,                0.49644,                0.58257,                0.49689,                0.36712,                0.91392,                 1.4588,                 1.2237,              0.0087625,              0.0087625,              0.0087625
                    127,                 1.4187,                  1.184,                 1.4028,                0.49673,                0.58257,                0.49537,                0.36623,                0.91214,                 1.4616,                 1.2222,              0.0087526,              0.0087526,              0.0087526
                    128,                 1.4182,                  1.185,                 1.4033,                 0.4983,                0.57488,                0.49388,                0.36492,                0.91266,                 1.4652,                 1.2224,              0.0087427,              0.0087427,              0.0087427
                    129,                 1.4188,                 1.1865,                 1.4024,                0.49556,                 0.5755,                0.49403,                0.36525,                 0.9142,                 1.4618,                 1.2244,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.4199,                 1.1884,                 1.4051,                0.49578,                0.57948,                0.49678,                0.36762,                0.91265,                 1.4549,                 1.2237,              0.0087229,              0.0087229,              0.0087229
                    131,                 1.4206,                 1.1846,                 1.4028,                0.49662,                 0.5794,                0.49688,                0.36739,                0.91201,                 1.4567,                 1.2227,               0.008713,               0.008713,               0.008713
                    132,                 1.4197,                 1.1858,                 1.4023,                0.49539,                0.58272,                0.49725,                0.36779,                0.91058,                 1.4566,                 1.2213,              0.0087031,              0.0087031,              0.0087031
